song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,album_names,playlist,Artist_and_Track_Name
62,259000,0.728,0.396,0.479,9.51e-06,5,0.102,-8.072000000000001,1,0.0268,109.973,4,0.184,The One That You Love,80s Love Songs,Air Supply - The One That You Love
60,275986,0.114,0.677,0.509,0.0134,5,0.0659,-7.472,1,0.0252,93.042,4,0.525,...But Seriously (Remastered),80s Love Songs,Phil Collins - Do You Remember? - 2016 Remastered
72,206360,0.198,0.58,0.498,0.0,1,0.132,-6.901,1,0.0277,116.271,4,0.111,The Singles (Expanded),80s Love Songs,Phil Collins - Against All Odds (Take A Look At Me Now) - 2016 Remastered
35,295520,0.000185,0.5379999999999999,0.4320000000000001,0.309,2,0.139,-11.882,1,0.0295,110.181,4,0.116,The Joshua Tree (Deluxe Edition Remastered),80s Love Songs,U2 - With Or Without You - Remastered
75,273600,0.0326,0.445,0.955,0.284,8,0.317,-8.027000000000001,1,0.0856,123.343,4,0.336,Appetite For Destruction,80s Rock Anthems,Guns N' Roses - Welcome To The Jungle
77,210173,0.00287,0.532,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755,Back In Black,80s Rock Anthems,AC/DC - You Shook Me All Night Long
73,256000,0.219,0.63,0.449,0.0,5,0.0622,-13.243,1,0.0252,84.37799999999999,4,0.623,Full Moon Fever,80s Rock Anthems,Tom Petty - Free Fallin'
70,295515,0.000207,0.5429999999999999,0.4320000000000001,0.369,2,0.146,-11.832,1,0.0288,110.196,4,0.107,The Joshua Tree (Deluxe),80s Rock Anthems,U2 - With Or Without You - Remastered
69,265773,0.417,0.537,0.978,1.56e-05,4,0.0374,-2.9210000000000003,0,0.0442,126.343,4,0.931,Permanent Vacation,80s Rock Anthems,Aerosmith - Dude (Looks Like A Lady)
73,278680,0.000373,0.398,0.952,7.75e-05,4,0.1,-6.042000000000002,1,0.061,122.093,4,0.584,Born In The U.S.A.,80s Rock Anthems,Bruce Springsteen - Born in the U.S.A.
77,356400,0.141,0.449,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696,Appetite For Destruction,80s Rock Anthems,Guns N' Roses - Sweet Child O' Mine
63,179360,0.000212,0.49,0.8270000000000001,0.00406,8,0.112,-9.481,1,0.0482,108.577,4,0.626,Rattle And Hum,80s Rock Anthems,U2 - Desire
84,293826,0.0236,0.92,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847,Thriller 25 Super Deluxe Edition,80s Rock Anthems,Michael Jackson - Billie Jean
56,336613,0.0113,0.4920000000000001,0.7090000000000001,0.00564,2,0.153,-9.66,1,0.0359,125.799,4,0.264,The Joshua Tree,80s Rock Anthems,U2 - Where The Streets Have No Name - Remastered
69,447440,0.00112,0.444,0.703,0.0761,7,0.127,-9.443,1,0.0641,106.228,4,0.419,...And Justice For All,80s Rock Anthems,Metallica - One
54,277480,0.0139,0.565,0.764,0.00488,1,0.079,-9.43,1,0.0351,100.891,4,0.6859999999999999,The Joshua Tree,80s Rock Anthems,U2 - I Still Haven't Found What I'm Looking For - Remastered 2007
66,211026,0.0249,0.629,0.785,9.45e-06,5,0.0522,-10.761,1,0.0471,108.531,4,0.8690000000000001,Aerosmith's Greatest Hits,80s Rock Anthems,Aerosmith - Walk This Way
75,296200,0.361,0.453,0.906,0.0005690000000000001,9,0.26,-4.001,1,0.115,137.575,4,0.473,Blizzard of Ozz (Expanded Edition),80s Rock Anthems,Ozzy Osbourne - Crazy Train - Remastered
44,227733,0.000901,0.421,0.742,0.00216,4,0.6890000000000001,-10.564,1,0.0334,105.889,4,0.762,The Unforgettable Fire,80s Rock Anthems,U2 - Pride (In The Name Of Love)
57,279440,0.415,0.541,0.946,0.000389,6,0.0468,-7.459,1,0.058,101.169,4,0.728,War (Deluxe Edition Remastered),80s Rock Anthems,U2 - Sunday Bloody Sunday - Remastered 2008
