Artist_and_Track_Name,All_Streams,Position
Drake - Get It Together,27253106,370
Pitbull - Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,27152044,371
Ed Sheeran - What Do I Know?,27026316,372
2 Chainz - Good Drank,26093752,373
RAF Camora - Primo,26043679,374
Gucci Mane - Met Gala (feat. Offset),25952721,375
Alan Walker - Tired,25902876,376
Hearts & Colors - Lighthouse - Andrelli Remix,25887192,377
Lil Pump - Boss,25842905,378
Nicky Jam - Si Tú La Ves,25738529,379
Bonez MC - Palmen aus Plastik,25462488,380
NAV - Wanted You (feat. Lil Uzi Vert),25441932,381
Sia - The Greatest,25419610,382
Kaleo - Way Down We Go,25367101,383
Ed Sheeran - Supermarket Flowers,25288055,384
RIN - Bros,25271649,385
Sabrina Carpenter - Thumbs,25127779,386
YBN Nahmir - Rubbin Off The Paint,25116158,387
Nacho - Báilame - Remix,25089436,388
Drake - Jumpman,25073284,389
Chino & Nacho - Andas En Mi Cabeza,25061609,390
Anne-Marie - Ciao Adios,24922973,391
Linkin Park - Heavy (feat. Kiiara),24804096,392
Migos - Kelly Price (feat. Travis Scott),24769586,393
Sud - Sila,24743092,394
Bad Bunny - Sensualidad,24606380,395
Coldplay - The Scientist,24599274,396
Chris Brown - Pills & Automobiles,24571296,397
Zedd - Get Low (with Liam Payne),24531008,398
J-AX - Senza Pagare VS T-Pain,24521381,399
KC Rebell - Murcielago,24495070,400
Charly Black - Gyal You A Party Animal - Remix,24470213,401
Kay One - Senorita,24441993,402
Kurdo - Ya Salam,24428717,403
The Weeknd - Die For You,24384429,404
MC Kevinho - Olha a Explosão,24350049,405
Ufo361 - Nice Girl 2.0,24192634,406
Luke Combs - When It Rains It Pours,24191328,407
Maître Gims - Loin - Pilule Violette,24071859,408
MadeinTYO - Skateboard P (feat. Big Sean),24069293,409
Camila Cabello - OMG,23856476,410
Aaron Carter - Sooner Or Later,23797297,411
Ozuna - Dile Que Tu Me Quieres,23722923,412
Up Dharma Down - Tadhana,23583699,413
Martin Solveig - All Stars,23515214,414
Big Sean - Jump Out The Window,23360724,415
187 Strassenbande - Millionär,23306317,416
Kendrick Lamar - GOD.,23268369,417
Shawn Hook - Reminding Me,23184792,418
Maroon 5 - Wait,23129802,419
Post Malone - Deja Vu,23091775,420
Brenda Lee - Rockin' Around The Christmas Tree - Single Version,23037552,421
21 Savage - Numb,22979748,422
RIN - Monica Bellucci,22740663,423
Carlos Vives - Robarte un Beso,22709680,424
Post Malone - No Option,22469295,425
Kendrick Lamar - FEAR.,22405621,426
Wale - Running Back (feat. Lil Wayne),22263756,427
Kalash - Mwaka Moon,22263682,428
Lil Yachty - One Night,22048775,429
Coez - La musica non c'è,21982560,430
Bebe Rexha - The Way I Are (Dance With Somebody) [feat. Lil Wayne],21766930,431
Nicki Minaj - No Frauds,21757057,432
Machine Gun Kelly - At My Best (feat. Hailee Steinfeld),21735308,433
Alex Sensation - Que Va,21706500,434
Drake - No Long Talk,21674140,435
Ariana Grande - Everyday,21664487,436
Stanaj - Romantic - NOTD Remix,21629853,437
Shakira - Me Enamoré,21565052,438
The Weeknd - Six Feet Under,21484117,439
Miami Yacine - Kokaina,21469880,440
Drake - KMT,21277561,441
XXXTENTACION - Revenge,21120780,442
Jason Derulo - Tip Toe (feat. French Montana),21081030,443
Smokepurpp - Audi.,21041378,444
MAX - Lights Down Low,21025171,445
Mike Perry - The Ocean,20998757,446
Calvin Harris - This Is What You Came For,20987882,447
Alle Farben - Little Hollywood,20965891,448
Rihanna - Work,20961421,449
Bryson Tiller - Run Me Dry,20860153,450
Maluma - Borro Cassette,20844910,451
Linkin Park - In The End,20797494,452
Mark Carpio - Hiling,20651890,453
Hkeem - Fy Faen,20567993,454
Cashmere Cat - Quit (feat. Ariana Grande),20551977,455
Sebastian Yatra - Alguien Robo,20545133,456
Silent Sanctuary - Pasensya Ka Na,20448909,457
Gucci Mane - Curve (feat. The Weeknd),20326366,458
Drake - Madiba Riddim,20304114,459
Drake - Ice Melts,20260332,460
Micar - Burden Down,20257435,461
Kaye Cal - Why Can't It Be,20249007,462
"Machine Gun Kelly - Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",20200788,463
Kodak Black - Codeine Dreaming (feat. Lil Wayne),20190857,464
Ed Sheeran - Barcelona,20185654,465
Future - Used to This,20184059,466
Andy Williams - It's the Most Wonderful Time of the Year,20162465,467
Carlos Vives - La Bicicleta,19988671,468
Bonez MC - An ihnen vorbei,19974814,469
Kiiara - Whippin (feat. Felix Snow),19945982,470
